Time,Choke_Position,Oil_Rate,Wellhead_Pressure,Flowline_Pressure,Bottom_Hole_Pressure
2026-01-01 07:30:00,46.88,597.22,768.81,205.48,2126.39
2026-01-01 07:45:00,47.8,597.36,752.68,202.36,2099.89
2026-01-01 08:00:00,47.8,604.72,760.69,208.55,2120.86
2026-01-01 08:15:00,47.27,598.63,757.61,208.66,2120.38
2026-01-01 08:30:00,47.68,606.37,758.35,205.76,2113.91
2026-01-01 08:45:00,47.07,608.15,764.9,211.2,2107.51
2026-01-01 09:00:00,47.17,597.81,759.83,202.93,2127.75
2026-01-01 09:15:00,46.19,583.26,767.11,201.04,2125.13
2026-01-01 09:30:00,45.53,578.85,777.39,205.31,2124.07
2026-01-01 09:45:00,45.63,570.13,768.98,207.89,2106.26
2026-01-01 10:00:00,46.0,579.92,774.2,210.25,2131.75
2026-01-01 10:15:00,46.08,581.92,763.94,203.92,2149.07
2026-01-01 10:30:00,46.02,581.1,772.53,208.47,2148.42
2026-01-01 10:45:00,45.87,583.68,777.84,204.93,2128.44
2026-01-01 11:00:00,45.13,569.08,761.97,203.64,2132.9
2026-01-01 11:15:00,44.77,575.51,772.14,206.38,2146.49
2026-01-01 11:30:00,44.54,568.22,780.16,205.41,2133.66
2026-01-01 11:45:00,45.07,574.05,773.62,199.36,2142.44
2026-01-01 12:00:00,45.24,573.64,775.63,208.72,2145.7
2026-01-01 12:15:00,44.36,566.27,775.16,207.38,2157.36
2026-01-01 12:30:00,44.53,572.28,777.81,201.55,2142.8
2026-01-01 12:45:00,44.33,561.36,777.56,204.39,2143.3
2026-01-01 13:00:00,43.99,559.45,785.87,204.28,2139.27
2026-01-01 13:15:00,44.3,564.08,779.77,203.94,2137.33
2026-01-01 13:30:00,44.82,564.6,777.61,202.13,2139.21
2026-01-01 13:45:00,45.28,571.82,771.53,202.32,2141.42
2026-01-01 14:00:00,44.86,568.87,773.25,203.76,2150.24
2026-01-01 14:15:00,44.71,573.65,774.3,207.17,2134.31
2026-01-01 14:30:00,44.87,572.95,777.61,205.48,2155.95
2026-01-01 14:45:00,45.36,577.63,771.09,203.32,2134.41
2026-01-01 15:00:00,45.12,578.4,775.85,206.46,2138.82
2026-01-01 15:15:00,45.03,574.45,785.24,195.49,2132.3
2026-01-01 15:30:00,44.47,569.44,781.98,206.82,2119.96
2026-01-01 15:45:00,43.88,560.91,778.99,197.43,2157.83
2026-01-01 16:00:00,44.28,567.4,784.59,202.05,2153.1
2026-01-01 16:15:00,44.96,569.76,773.15,200.59,2137.5
2026-01-01 16:30:00,44.93,559.33,765.18,200.03,2141.27
2026-01-01 16:45:00,45.43,575.94,767.83,207.99,2141.74
2026-01-01 17:00:00,45.61,585.69,762.61,203.33,2119.51
2026-01-01 17:15:00,45.29,580.32,771.82,205.38,2132.43
2026-01-01 17:30:00,45.47,582.73,772.76,204.42,2144.22
2026-01-01 17:45:00,46.23,592.88,777.21,206.91,2117.58
2026-01-01 18:00:00,46.22,586.4,770.55,205.69,2133.2
2026-01-01 18:15:00,47.0,595.34,763.91,202.55,2110.44
2026-01-01 18:30:00,45.69,577.27,775.7,207.82,2139.15
2026-01-01 18:45:00,46.1,582.04,758.44,203.84,2130.84
2026-01-01 19:00:00,46.14,588.7,770.46,200.7,2114.7
2026-01-01 19:15:00,45.99,589.99,773.88,203.91,2143.69
2026-01-01 19:30:00,46.04,582.06,762.41,209.75,2124.33
2026-01-01 19:45:00,45.05,571.51,780.49,206.61,2131.53
2026-01-01 20:00:00,44.94,572.56,777.01,202.88,2142.51
2026-01-01 20:15:00,45.12,577.07,772.35,203.09,2150.57
2026-01-01 20:30:00,45.85,575.17,773.89,204.06,2123.01
2026-01-01 20:45:00,45.59,568.27,783.38,210.94,2135.86
2026-01-01 21:00:00,45.19,572.19,774.96,205.37,2142.76
2026-01-01 21:15:00,44.94,566.21,776.54,205.22,2147.41
2026-01-01 21:30:00,45.4,574.07,770.72,207.57,2138.58
2026-01-01 21:45:00,45.56,577.66,767.94,205.39,2131.83
2026-01-01 22:00:00,45.3,574.32,777.67,203.58,2129.35
2026-01-01 22:15:00,45.55,585.7,767.95,204.08,2136.43
2026-01-01 22:30:00,45.6,581.01,772.35,204.51,2124.46
2026-01-01 22:45:00,46.09,585.71,767.18,205.19,2102.09
2026-01-01 23:00:00,45.74,583.86,773.72,207.07,2138.48
2026-01-01 23:15:00,45.57,573.45,773.81,204.84,2144.47
2026-01-01 23:30:00,45.38,582.42,778.31,206.65,2113.37
2026-01-01 23:45:00,44.64,568.57,774.23,203.33,2132.75
2026-01-02 00:00:00,44.79,573.94,774.69,203.99,2147.86
2026-01-02 00:15:00,44.92,566.88,770.49,197.91,2161.2
2026-01-02 00:30:00,44.92,563.89,773.15,206.66,2140.81
2026-01-02 00:45:00,44.81,575.09,777.85,204.81,2134.26
2026-01-02 01:00:00,44.1,565.39,783.28,205.91,2145.37
2026-01-02 01:15:00,43.89,557.1,775.94,193.98,2162.63
2026-01-02 01:30:00,43.72,554.85,785.76,208.73,2143.79
2026-01-02 01:45:00,43.32,561.49,790.19,201.56,2145.47
2026-01-02 02:00:00,43.24,548.21,785.88,205.21,2149.28
2026-01-02 02:15:00,43.44,565.89,792.19,199.01,2142.96
2026-01-02 02:30:00,44.38,561.34,774.22,205.1,2146.17
2026-01-02 02:45:00,44.47,570.22,771.43,200.2,2160.5
2026-01-02 03:00:00,44.6,566.35,768.12,201.65,2146.45
2026-01-02 03:15:00,44.56,571.49,784.68,209.21,2140.99
2026-01-02 03:30:00,43.6,555.81,785.27,201.75,2148.27
2026-01-02 03:45:00,43.59,557.1,781.78,202.96,2135.67
2026-01-02 04:00:00,43.62,558.41,783.31,204.95,2159.89
2026-01-02 04:15:00,44.85,565.64,770.12,205.31,2140.42
2026-01-02 04:30:00,44.75,575.22,788.46,204.16,2140.17
2026-01-02 04:45:00,44.9,569.33,776.13,204.98,2172.7
2026-01-02 05:00:00,44.89,569.94,776.11,211.07,2143.89
2026-01-02 05:15:00,44.3,560.98,782.12,202.99,2138.06
2026-01-02 05:30:00,44.87,558.99,778.04,204.45,2136.75
2026-01-02 05:45:00,45.25,574.43,774.87,207.45,2149.49
2026-01-02 06:00:00,45.65,591.11,767.82,208.09,2135.97
2026-01-02 06:15:00,45.19,578.77,776.4,207.79,2124.09
2026-01-02 06:30:00,45.89,583.03,779.95,206.99,2142.06
2026-01-02 06:45:00,45.19,574.67,780.77,200.8,2131.79
2026-01-02 07:00:00,45.48,578.49,780.54,209.48,2154.86
2026-01-02 07:15:00,46.58,592.47,764.54,202.46,2138.16
2026-01-02 07:30:00,46.08,577.92,764.63,206.21,2126.85
2026-01-02 07:45:00,45.8,587.16,770.36,202.7,2146.4
2026-01-02 08:00:00,45.85,585.57,771.02,204.83,2133.87
2026-01-02 08:15:00,45.6,583.33,777.47,205.71,2143.73
2026-01-02 08:30:00,44.82,572.34,767.42,204.75,2146.25
2026-01-02 08:45:00,44.86,572.19,783.36,205.1,2132.67
2026-01-02 09:00:00,44.33,568.64,777.57,208.03,2138.95
2026-01-02 09:15:00,44.56,570.95,775.05,204.84,2153.79
2026-01-02 09:30:00,44.1,561.27,774.42,202.19,2143.82
2026-01-02 09:45:00,44.88,567.69,767.33,206.75,2136.93
2026-01-02 10:00:00,44.49,568.1,781.68,206.95,2134.55
2026-01-02 10:15:00,44.33,573.98,778.73,199.51,2149.62
2026-01-02 10:30:00,44.73,563.11,769.88,205.47,2162.76
2026-01-02 10:45:00,44.12,555.42,772.93,205.05,2136.38
2026-01-02 11:00:00,44.23,565.57,777.16,202.19,2146.39
2026-01-02 11:15:00,44.89,572.41,783.92,207.99,2155.04
2026-01-02 11:30:00,44.08,564.02,778.29,202.45,2146.55
2026-01-02 11:45:00,44.17,564.64,771.61,203.39,2151.13
2026-01-02 12:00:00,44.3,564.4,777.25,202.65,2134.95
2026-01-02 12:15:00,44.69,577.03,775.16,203.68,2146.73
2026-01-02 12:30:00,44.08,554.15,766.13,199.6,2145.52
2026-01-02 12:45:00,43.42,552.45,782.65,197.78,2162.53
2026-01-02 13:00:00,43.68,557.84,780.46,207.2,2162.46
2026-01-02 13:15:00,43.83,552.91,784.35,200.05,2175.29
2026-01-02 13:30:00,43.95,562.19,789.49,199.77,2154.19
2026-01-02 13:45:00,44.12,573.2,785.01,196.49,2150.27
2026-01-02 14:00:00,43.78,560.25,779.74,200.62,2151.67
2026-01-02 14:15:00,43.9,562.31,774.97,198.71,2145.27
2026-01-02 14:30:00,44.05,557.36,792.63,207.78,2151.01
2026-01-02 14:45:00,43.69,555.73,781.85,205.46,2147.53
2026-01-02 15:00:00,44.62,567.29,776.96,201.48,2144.71
2026-01-02 15:15:00,44.86,569.19,775.58,210.59,2154.3
2026-01-02 15:30:00,44.26,571.37,779.67,206.06,2135.83
2026-01-02 15:45:00,44.59,571.45,776.32,202.54,2154.66
2026-01-02 16:00:00,44.1,558.38,776.61,195.43,2160.34
2026-01-02 16:15:00,44.5,567.91,774.78,210.27,2142.83
2026-01-02 16:30:00,45.08,576.66,774.45,199.92,2118.16
2026-01-02 16:45:00,44.67,575.35,773.95,198.66,2136.59
2026-01-02 17:00:00,45.15,581.76,770.69,207.25,2151.78
2026-01-02 17:15:00,45.36,570.95,773.76,211.75,2136.93
2026-01-02 17:30:00,45.77,576.45,769.89,209.07,2123.88
2026-01-02 17:45:00,46.71,585.36,773.95,207.75,2121.24
2026-01-02 18:00:00,46.59,587.1,753.79,207.69,2135.67
2026-01-02 18:15:00,46.21,588.41,774.38,208.02,2135.75
2026-01-02 18:30:00,45.77,586.42,777.38,207.2,2131.45
2026-01-02 18:45:00,45.36,575.28,762.82,205.28,2133.43
2026-01-02 19:00:00,45.32,574.57,771.67,204.7,2133.49
2026-01-02 19:15:00,45.49,578.77,770.67,204.41,2126.82
2026-01-02 19:30:00,45.63,574.99,764.8,202.5,2151.09
2026-01-02 19:45:00,46.05,594.15,765.88,204.41,2128.41
2026-01-02 20:00:00,46.05,575.99,764.18,200.18,2143.75
2026-01-02 20:15:00,46.78,593.58,774.86,205.84,2140.98
2026-01-02 20:30:00,46.65,601.24,771.44,203.01,2136.81
2026-01-02 20:45:00,48.01,605.71,766.32,204.3,2111.63
2026-01-02 21:00:00,48.32,607.37,762.01,208.52,2117.48
2026-01-02 21:15:00,47.89,600.72,754.9,211.65,2116.63
2026-01-02 21:30:00,47.36,596.4,760.6,209.58,2112.11
2026-01-02 21:45:00,47.6,607.97,764.46,202.41,2122.46
2026-01-02 22:00:00,47.49,587.83,756.46,204.01,2108.32
2026-01-02 22:15:00,47.84,610.72,764.35,210.23,2129.14
2026-01-02 22:30:00,48.08,598.53,758.4,204.75,2110.72
2026-01-02 22:45:00,48.04,603.63,757.91,206.98,2117.67
2026-01-02 23:00:00,47.62,598.66,765.46,208.79,2121.88
2026-01-02 23:15:00,46.86,596.08,767.91,203.33,2122.52
2026-01-02 23:30:00,46.64,582.07,765.0,206.28,2132.76
2026-01-02 23:45:00,47.07,598.08,770.46,202.48,2118.72
2026-01-03 00:00:00,47.17,605.68,758.72,204.8,2131.32
2026-01-03 00:15:00,46.55,582.74,770.32,206.82,2114.13
2026-01-03 00:30:00,46.64,591.98,769.78,201.19,2128.16
2026-01-03 00:45:00,46.83,588.69,764.3,207.52,2144.75
2026-01-03 01:00:00,46.39,589.92,769.69,205.61,2118.89
2026-01-03 01:15:00,46.47,587.74,761.42,207.42,2121.5
2026-01-03 01:30:00,46.49,585.93,772.15,206.47,2133.18
2026-01-03 01:45:00,45.92,584.64,769.46,209.2,2134.41
2026-01-03 02:00:00,46.1,593.32,766.88,205.7,2134.69
2026-01-03 02:15:00,46.38,587.26,773.33,204.37,2133.83
2026-01-03 02:30:00,46.92,596.49,761.86,206.68,2130.96
2026-01-03 02:45:00,47.45,591.51,755.7,208.57,2131.49
2026-01-03 03:00:00,46.76,585.99,758.41,206.26,2130.0
2026-01-03 03:15:00,46.29,589.27,771.57,205.67,2127.24
2026-01-03 03:30:00,46.55,596.33,760.85,203.75,2134.32
2026-01-03 03:45:00,46.81,594.9,774.74,204.18,2144.54
2026-01-03 04:00:00,47.06,592.58,754.27,202.27,2122.16
2026-01-03 04:15:00,48.99,615.41,763.53,214.04,2098.33
2026-01-03 04:30:00,49.28,612.32,754.67,205.4,2116.86
2026-01-03 04:45:00,49.84,627.26,750.29,207.73,2100.04
2026-01-03 05:00:00,50.32,633.45,745.67,208.23,2075.7
2026-01-03 05:15:00,50.65,630.2,748.76,213.46,2103.3
2026-01-03 05:30:00,50.49,628.59,747.36,209.7,2090.73
2026-01-03 05:45:00,50.87,636.37,751.17,214.79,2092.14
2026-01-03 06:00:00,50.48,628.87,748.16,208.56,2099.46
2026-01-03 06:15:00,50.36,629.21,748.93,211.27,2098.99
2026-01-03 06:30:00,50.12,637.56,747.57,207.64,2106.12
2026-01-03 06:45:00,50.16,625.52,748.9,216.63,2094.35
2026-01-03 07:00:00,51.32,638.33,744.94,208.02,2094.57
2026-01-03 07:15:00,50.39,625.6,739.52,211.39,2094.32
2026-01-03 07:30:00,50.73,636.25,739.61,212.78,2101.55
2026-01-03 07:45:00,49.92,624.24,754.1,211.15,2106.77
2026-01-03 08:00:00,49.69,619.31,752.42,209.07,2093.15
2026-01-03 08:15:00,50.23,634.71,747.92,209.89,2109.01
2026-01-03 08:30:00,50.26,635.58,748.77,210.45,2092.53
2026-01-03 08:45:00,49.72,620.03,753.11,209.23,2110.28
2026-01-03 09:00:00,49.37,609.16,750.47,212.13,2108.74
2026-01-03 09:15:00,49.71,626.61,747.57,216.28,2120.73
2026-01-03 09:30:00,49.34,615.62,754.27,207.54,2103.03
2026-01-03 09:45:00,49.45,623.8,747.86,205.23,2100.91
2026-01-03 10:00:00,49.47,610.54,754.68,209.1,2104.02
2026-01-03 10:15:00,49.15,619.56,745.75,216.72,2103.79
2026-01-03 10:30:00,50.22,622.72,754.05,207.85,2106.25
2026-01-03 10:45:00,50.54,634.75,749.68,215.56,2079.55
2026-01-03 11:00:00,49.52,620.39,753.66,214.46,2093.28
2026-01-03 11:15:00,49.62,617.56,756.83,207.88,2092.39
2026-01-03 11:30:00,49.29,616.82,761.9,210.85,2115.22
2026-01-03 11:45:00,49.71,626.13,756.51,214.54,2119.41
2026-01-03 12:00:00,49.32,618.23,744.22,208.04,2104.43
2026-01-03 12:15:00,49.26,620.24,747.31,208.5,2104.25
2026-01-03 12:30:00,49.51,630.3,749.32,207.67,2104.62
2026-01-03 12:45:00,49.94,617.62,750.41,206.89,2112.07
2026-01-03 13:00:00,49.34,627.34,755.87,207.26,2095.98
2026-01-03 13:15:00,49.18,617.56,750.49,205.34,2108.98
2026-01-03 13:30:00,48.94,610.12,756.24,208.83,2118.24
2026-01-03 13:45:00,48.61,604.29,753.16,206.02,2116.12
2026-01-03 14:00:00,49.49,619.07,749.47,210.09,2105.94
2026-01-03 14:15:00,49.7,626.9,744.48,204.97,2112.43
2026-01-03 14:30:00,49.07,614.68,750.05,209.87,2080.43
2026-01-03 14:45:00,49.53,627.35,745.61,211.93,2110.57
2026-01-03 15:00:00,50.59,624.75,742.19,204.72,2088.77
2026-01-03 15:15:00,51.1,637.68,749.75,212.45,2072.87
2026-01-03 15:30:00,50.34,622.23,743.54,214.09,2102.37
2026-01-03 15:45:00,50.1,630.28,762.66,206.49,2112.93
2026-01-03 16:00:00,50.73,637.63,748.79,215.9,2092.75
2026-01-03 16:15:00,50.38,627.59,749.02,211.71,2106.48
2026-01-03 16:30:00,50.6,618.82,742.69,208.61,2111.3
2026-01-03 16:45:00,50.99,637.5,748.55,211.02,2105.23
2026-01-03 17:00:00,50.53,632.99,744.49,212.31,2112.19
2026-01-03 17:15:00,50.5,633.01,748.13,210.82,2103.45
2026-01-03 17:30:00,48.88,621.17,768.42,210.27,2109.75
2026-01-03 17:45:00,48.36,603.35,757.7,205.27,2097.07
2026-01-03 18:00:00,48.24,611.07,764.56,208.39,2111.64
2026-01-03 18:15:00,47.61,606.6,758.42,202.9,2110.66
2026-01-03 18:30:00,48.43,600.29,757.68,207.78,2134.27
2026-01-03 18:45:00,47.71,604.38,770.28,204.55,2116.52
2026-01-03 19:00:00,47.49,596.69,759.39,204.79,2121.27
2026-01-03 19:15:00,47.56,600.12,771.26,210.78,2125.03
2026-01-03 19:30:00,48.28,609.36,762.13,211.21,2114.19
2026-01-03 19:45:00,47.56,597.12,759.37,208.9,2136.45
2026-01-03 20:00:00,48.14,603.43,762.44,204.5,2108.62
2026-01-03 20:15:00,48.15,606.97,764.11,206.83,2116.75
2026-01-03 20:30:00,47.66,595.55,764.81,210.83,2111.3
2026-01-03 20:45:00,47.89,597.22,752.7,207.89,2103.68
2026-01-03 21:00:00,47.99,606.86,756.42,214.55,2109.97
2026-01-03 21:15:00,47.69,595.37,760.32,208.41,2118.11
2026-01-03 21:30:00,47.72,604.96,761.01,207.85,2113.91
2026-01-03 21:45:00,47.53,602.41,765.45,206.11,2112.82
2026-01-03 22:00:00,47.59,591.71,762.95,207.51,2105.23
2026-01-03 22:15:00,47.92,599.78,753.73,207.05,2115.81
2026-01-03 22:30:00,48.71,618.1,758.34,210.58,2095.25
2026-01-03 22:45:00,48.09,600.73,762.59,210.58,2122.85
2026-01-03 23:00:00,49.16,615.06,757.0,206.63,2107.54
2026-01-03 23:15:00,48.18,609.83,764.48,203.83,2099.95
2026-01-03 23:30:00,48.11,610.66,763.63,202.22,2112.04
2026-01-03 23:45:00,48.4,607.7,760.28,209.61,2105.26
2026-01-04 00:00:00,48.54,607.67,756.94,204.94,2114.85
2026-01-04 00:15:00,48.23,614.0,750.54,201.42,2127.55
2026-01-04 00:30:00,48.13,614.77,761.51,208.92,2096.23
2026-01-04 00:45:00,47.88,607.63,761.63,214.94,2118.1
2026-01-04 01:00:00,47.59,600.83,763.43,207.09,2117.71
2026-01-04 01:15:00,48.01,599.82,753.56,210.13,2122.63
2026-01-04 01:30:00,48.19,601.92,753.65,208.07,2116.62
2026-01-04 01:45:00,47.84,606.15,766.05,207.11,2109.74
2026-01-04 02:00:00,48.29,609.52,758.34,210.71,2110.47
2026-01-04 02:15:00,48.45,616.78,761.18,207.26,2104.47
2026-01-04 02:30:00,48.85,616.82,755.88,209.43,2119.94
2026-01-04 02:45:00,49.17,609.35,754.31,209.97,2106.87
2026-01-04 03:00:00,48.75,618.51,760.93,206.5,2128.99
2026-01-04 03:15:00,48.47,604.08,755.05,211.14,2111.61
2026-01-04 03:30:00,48.85,611.75,756.25,208.09,2102.14
2026-01-04 03:45:00,49.15,618.03,751.93,206.72,2091.65
2026-01-04 04:00:00,49.14,626.27,752.12,210.58,2088.84
2026-01-04 04:15:00,49.2,632.95,752.45,206.34,2090.56
2026-01-04 04:30:00,49.84,627.16,751.92,209.89,2103.96
2026-01-04 04:45:00,49.54,619.75,749.89,209.42,2108.74
2026-01-04 05:00:00,49.82,626.76,757.19,213.04,2085.65
2026-01-04 05:15:00,49.72,626.57,746.95,211.08,2111.23
2026-01-04 05:30:00,49.61,619.89,751.03,209.45,2098.31
2026-01-04 05:45:00,50.16,635.87,747.02,212.64,2100.22
2026-01-04 06:00:00,50.57,633.16,754.39,214.85,2111.57
2026-01-04 06:15:00,50.98,638.41,746.1,212.84,2101.16
2026-01-04 06:30:00,51.63,646.7,747.02,211.99,2084.29
2026-01-04 06:45:00,51.64,644.72,734.38,208.03,2077.98
2026-01-04 07:00:00,51.98,651.2,741.44,209.18,2062.64
2026-01-04 07:15:00,51.82,642.37,745.32,211.27,2078.21
2026-01-04 07:30:00,51.99,644.06,740.48,210.56,2081.99
2026-01-04 07:45:00,51.92,641.03,745.72,211.75,2074.75
2026-01-04 08:00:00,51.97,648.37,737.56,212.53,2082.93
2026-01-04 08:15:00,52.27,654.02,745.71,214.31,2082.63
2026-01-04 08:30:00,51.86,648.74,752.2,212.02,2082.88
2026-01-04 08:45:00,52.9,664.32,733.66,214.95,2070.26
2026-01-04 09:00:00,52.4,650.72,735.76,213.08,2082.47
2026-01-04 09:15:00,51.79,649.27,748.29,206.23,2090.06
2026-01-04 09:30:00,52.37,646.31,746.03,210.03,2070.1
2026-01-04 09:45:00,52.77,652.7,733.54,212.89,2091.95
2026-01-04 10:00:00,53.08,661.76,732.49,210.07,2074.36
2026-01-04 10:15:00,53.4,665.36,731.61,215.87,2073.02
2026-01-04 10:30:00,53.39,658.77,726.33,218.66,2079.96
2026-01-04 10:45:00,52.94,655.47,730.7,217.19,2078.8
2026-01-04 11:00:00,52.98,649.03,730.08,212.93,2085.7
2026-01-04 11:15:00,52.64,650.88,732.96,217.64,2081.75
2026-01-04 11:30:00,53.13,663.01,734.19,214.2,2068.85
2026-01-04 11:45:00,53.05,660.94,735.9,212.65,2079.18
2026-01-04 12:00:00,52.64,656.97,744.54,211.33,2067.43
2026-01-04 12:15:00,52.48,651.66,732.6,212.07,2081.24
2026-01-04 12:30:00,52.69,654.63,741.48,212.06,2078.17
2026-01-04 12:45:00,52.41,647.57,736.9,213.4,2078.67
2026-01-04 13:00:00,51.99,650.13,739.78,212.88,2082.76
2026-01-04 13:15:00,52.12,650.43,742.79,212.55,2064.25
2026-01-04 13:30:00,52.24,651.04,733.19,214.0,2076.6
2026-01-04 13:45:00,51.99,643.81,741.98,215.95,2085.04
2026-01-04 14:00:00,51.75,633.16,742.08,214.95,2087.6
2026-01-04 14:15:00,51.87,651.53,743.13,207.78,2074.8
2026-01-04 14:30:00,51.14,636.25,745.74,203.71,2103.52
2026-01-04 14:45:00,50.44,626.96,760.09,213.33,2087.83
2026-01-04 15:00:00,50.08,630.11,746.42,205.99,2109.06
2026-01-04 15:15:00,49.97,623.27,747.48,209.29,2104.49
2026-01-04 15:30:00,50.13,632.4,746.25,206.64,2092.52
2026-01-04 15:45:00,50.87,638.17,742.9,205.63,2110.83
2026-01-04 16:00:00,51.29,642.28,740.34,213.18,2077.71
2026-01-04 16:15:00,51.21,632.03,749.87,213.73,2099.48
2026-01-04 16:30:00,51.2,645.34,751.08,209.72,2100.37
2026-01-04 16:45:00,50.7,634.92,743.63,203.07,2087.67
2026-01-04 17:00:00,50.69,630.93,742.37,209.19,2108.37
2026-01-04 17:15:00,50.55,632.34,749.61,211.84,2093.1
2026-01-04 17:30:00,50.71,624.49,743.68,206.42,2097.2
2026-01-04 17:45:00,50.3,631.15,751.68,210.91,2100.22
2026-01-04 18:00:00,50.56,626.54,748.23,210.62,2094.2
2026-01-04 18:15:00,51.32,631.95,735.8,213.33,2097.52
2026-01-04 18:30:00,51.27,632.2,751.39,211.88,2097.78
2026-01-04 18:45:00,51.47,647.94,751.63,208.84,2070.75
2026-01-04 19:00:00,51.82,641.01,737.86,215.77,2098.52
2026-01-04 19:15:00,51.61,650.23,739.99,211.46,2070.46
2026-01-04 19:30:00,51.73,641.36,742.8,211.99,2096.51
2026-01-04 19:45:00,51.73,635.86,743.01,209.28,2097.4
2026-01-04 20:00:00,51.78,639.35,744.38,210.81,2074.84
2026-01-04 20:15:00,51.4,647.85,753.07,209.02,2084.73
2026-01-04 20:30:00,51.41,639.71,742.08,211.17,2077.68
2026-01-04 20:45:00,51.66,639.5,737.73,217.12,2084.6
2026-01-04 21:00:00,52.38,651.3,731.19,208.74,2077.86
2026-01-04 21:15:00,52.86,658.45,732.04,208.59,2084.9
2026-01-04 21:30:00,53.94,672.26,730.14,219.14,2081.6
2026-01-04 21:45:00,53.55,671.3,741.2,213.64,2085.52
2026-01-04 22:00:00,53.99,665.82,727.46,212.78,2062.45
2026-01-04 22:15:00,54.08,661.81,730.71,218.02,2065.25
2026-01-04 22:30:00,55.18,678.24,724.03,214.4,2041.75
2026-01-04 22:45:00,54.77,677.24,732.08,221.21,2053.76
2026-01-04 23:00:00,54.35,667.73,740.87,217.26,2074.82
2026-01-04 23:15:00,54.05,663.43,727.08,213.4,2083.73
2026-01-04 23:30:00,52.99,658.01,732.59,220.06,2063.72
2026-01-04 23:45:00,52.73,654.88,741.58,211.46,2072.24
2026-01-05 00:00:00,52.35,650.72,741.66,215.05,2080.94
2026-01-05 00:15:00,52.42,648.27,747.11,213.81,2083.41
2026-01-05 00:30:00,52.6,651.77,739.94,217.02,2071.14
2026-01-05 00:45:00,53.53,657.61,730.54,218.92,2075.97
2026-01-05 01:00:00,54.01,672.6,732.91,214.91,2063.19
2026-01-05 01:15:00,53.72,670.79,736.94,212.2,2070.09
2026-01-05 01:30:00,53.27,651.16,737.75,215.31,2079.29
2026-01-05 01:45:00,53.52,658.51,734.95,212.19,2071.93
2026-01-05 02:00:00,52.86,648.21,741.05,219.47,2072.78
2026-01-05 02:15:00,53.77,662.68,736.98,214.94,2068.72
2026-01-05 02:30:00,54.36,671.96,735.1,214.14,2064.22
2026-01-05 02:45:00,54.13,662.14,732.6,215.51,2063.28
2026-01-05 03:00:00,53.27,655.83,732.81,209.88,2071.24
2026-01-05 03:15:00,53.95,662.57,730.99,211.82,2084.4
2026-01-05 03:30:00,53.89,667.91,736.58,218.27,2074.48
2026-01-05 03:45:00,54.51,673.26,723.37,213.44,2060.97
2026-01-05 04:00:00,53.71,661.65,733.28,211.31,2077.27
2026-01-05 04:15:00,53.41,662.14,730.97,215.71,2069.36
2026-01-05 04:30:00,53.42,658.56,733.07,217.66,2084.41
2026-01-05 04:45:00,53.44,660.95,739.2,216.28,2076.18
2026-01-05 05:00:00,53.21,667.68,734.89,216.84,2073.22
2026-01-05 05:15:00,53.53,669.74,732.61,211.96,2076.27
2026-01-05 05:30:00,52.99,650.43,728.24,209.32,2060.36
2026-01-05 05:45:00,52.92,660.51,739.13,218.01,2065.37
